sto_common,p_si_original,p_si_reconstructed_deformed,si_scale_a,si_shift_b,dUdx_si_original,dUdx_si_reconstructed_deformed,x_anode_common,p_anode_reconstructed,dUdx_anode_reconstructed
0.0,1.0,1.0,0.91,0.029,-177.67052081056616,-235.43628603169995,1.8534390306462995e-06,1.0000000000000002,-91.76982207223605
0.001001001001001001,0.8221516308202541,0.7643280420103103,0.91,0.029,-103.3559775420618,-129.75084008963637,0.0010028525847373222,0.9081384865040383,-91.00052655612745
0.002002002002002002,0.7930811260419184,0.7402385583791063,0.91,0.029,-25.849677990515602,-21.6764692720281,0.0020038517304439983,0.8178171013169178,-76.7104257269529
0.003003003003003003,0.7704005237321347,0.7209317071313752,0.91,0.029,-20.680644351403828,-17.67874753565269,0.0030048508761506745,0.7545643452650878,-46.04920443249301
0.004004004004004004,0.7516784346477164,0.7048456704198417,0.91,0.029,-17.360018854395946,-14.98020992901263,0.00400585002185735,0.7256266727221226,-25.47742672874972
0.005005005005005005,0.7356457312308416,0.6909412968630816,0.91,0.029,-15.045854006761715,-13.12026929456664,0.005006849167564026,0.7035585804845219,-20.163375157176006
0.006006006006006006,0.7215566048043497,0.678578865025314,0.91,0.029,-13.34220781636185,-11.750970118646933,0.0060078483132707024,0.6852596301083297,-17.1395350771906
0.007007007007007007,0.7089346044713585,0.6674158311600847,0.91,0.029,-12.037599881106985,-10.642154112488754,0.007008847458977378,0.6692452605443671,-15.153850571545775
0.008008008008008008,0.6974573057430744,0.6572732511864976,0.91,0.029,-11.008472629544826,-9.762176201856335,0.008009846604684054,0.6549216471557618,-13.790525643137869
0.009009009009009009,0.6868956202280254,0.6478719348600721,0.91,0.029,-10.178196972223645,-9.083900365993884,0.00901084575039073,0.641636651769113,-12.852140302332202
0.01001001001001001,0.677080535027912,0.6390872644677911,0.91,0.029,-9.496070479061075,-8.506250179231188,0.010011844896097405,0.6291916842294881,-12.032237368451092
0.011011011011011011,0.6678844681177931,0.6308424049717214,0.91,0.029,-8.927552196822944,-8.012148775244725,0.011012844041804082,0.6175481331155941,-11.327387549780724
0.012012012012012012,0.6592075576568951,0.6230469265794133,0.91,0.029,-8.447749079156267,-7.60564452748946,0.012013843187510758,0.6065142737086503,-10.74798250357702
0.013013013013013013,0.6509720575489116,0.615615889401172,0.91,0.029,-8.03919098528604,-7.266082576837334,0.013014842333217433,0.5960306905072923,-10.226877676678669
0.014014014014014014,0.643113081209876,0.608500214713873,0.91,0.029,-7.689034459625191,-6.960364753890019,0.01401584147892411,0.5860400820734463,-9.813138327042168
0.015015015015015015,0.6355785951672797,0.60168122522922,0.91,0.029,-7.386462975835684,-6.69640658799409,0.015016840624630785,0.576384804343151,-9.436303664290165
0.016016016016016016,0.6283253675445393,0.5950939953184895,0.91,0.029,-7.123856292648156,-6.479344198592457,0.01601783977033746,0.5671486182602798,-9.121254888830379
0.017017017017017015,0.6213166206074235,0.5887095651719778,0.91,0.029,-6.895661674795576,-6.285294804220655,0.017018838916044134,0.5581240676401669,-8.88076833397264
